Student Name,Carpool Number,Grade,Teacher,Transport,Zone
John Doe,100,5th,Mr. Feeny,Carpool,3-4
Jane Doe,100,3rd,Mrs. Krabappel,Carpool,3-4
Baby Doe,100,K,Ms. Honey,Carpool,PreK-2
Sarah Smith,101,1st,Ms. Honey,Carpool,PreK-2
Michael Jordan,102,4th,Mrs. Krabappel,Bus,Bus Loop
Harry Potter,103,5th,Mr. Feeny,Walkoff,3-4
Hermione Granger,104,5th,Mr. Feeny,Aftercare,3-4
Ron Weasley,105,5th,Mr. Feeny,Carpool,3-4
Lisa Simpson,106,2nd,Ms. Frizzle,Bus,Bus Loop
Bart Simpson,106,4th,Mrs. Krabappel,Bus,Bus Loop
Charlie Brown,107,1st,Ms. Honey,Carpool,PreK-2
Lucy Van Pelt,108,1st,Ms. Honey,Carpool,PreK-2
Matilda Wormwood,109,K,Ms. Honey,Carpool,PreK-2
Wednesday Addams,110,3rd,Mrs. Krabappel,Aftercare,3-4
Pugsley Addams,110,1st,Ms. Frizzle,Carpool,PreK-2
